run_name,receiver_agent,receiver_model,lambda_fr,lambda_kd,kd_temperature,acc_global_after,acc_new_after,acc_expert_after,forgetting,source_file
cifar100_4agent_25cls_hetero4arch_ipc10_guardian_vgg_dense_ep60_lr0p01_fr0p35_kd0p3_t4p0_self4p0,2,vgg,0.35,0.3,4.0,25.76,27.12,21.68,42.63999999999999,outputs/cifar100_4agent_25cls_hetero4arch_ipc10_guardian_vgg_dense_ep60_lr0p01_fr0p35_kd0p3_t4p0_self4p0/metrics/social_results.csv
cifar100_4agent_25cls_hetero4arch_ipc10_guardian_vgg_dense_ep60_lr0p01_fr0p25_kd0p6_t3p0_self2p5,2,vgg,0.25,0.6,3.0,25.73,28.066666666666666,18.72,45.599999999999994,outputs/cifar100_4agent_25cls_hetero4arch_ipc10_guardian_vgg_dense_ep60_lr0p01_fr0p25_kd0p6_t3p0_self2p5/metrics/social_results.csv
cifar100_4agent_25cls_hetero4arch_ipc10_guardian_vgg_dense_ep60_lr0p01_fr0p25_kd0p6_t4p0_self3p0,2,vgg,0.25,0.6,4.0,25.73,27.426666666666666,20.64,43.67999999999999,outputs/cifar100_4agent_25cls_hetero4arch_ipc10_guardian_vgg_dense_ep60_lr0p01_fr0p25_kd0p6_t4p0_self3p0/metrics/social_results.csv
cifar100_4agent_25cls_hetero4arch_ipc10_tune2_vgg_fr030_kd060_t3_sched_self20,2,vgg,0.3,0.6,3.0,25.69,27.64,19.84,44.47999999999999,outputs/cifar100_4agent_25cls_hetero4arch_ipc10_tune2_vgg_fr030_kd060_t3_sched_self20/metrics/social_results.csv
cifar100_4agent_25cls_hetero4arch_ipc10_guardian_vgg_dense_ep60_lr0p01_fr0p4_kd0p5_t4p0_self3p0,2,vgg,0.4,0.5,4.0,25.69,27.506666666666668,20.24,44.08,outputs/cifar100_4agent_25cls_hetero4arch_ipc10_guardian_vgg_dense_ep60_lr0p01_fr0p4_kd0p5_t4p0_self3p0/metrics/social_results.csv
cifar100_4agent_25cls_hetero4arch_ipc10_tune2_vgg_fr020_kd060_t3_sched_self20,2,vgg,0.2,0.6,3.0,25.65,28.173333333333332,18.08,46.239999999999995,outputs/cifar100_4agent_25cls_hetero4arch_ipc10_tune2_vgg_fr020_kd060_t3_sched_self20/metrics/social_results.csv
cifar100_4agent_25cls_hetero4arch_ipc10_guardian_vgg_dense_ep75_lr0p01_fr0p25_kd0p4_t4p0_self3p0,2,vgg,0.25,0.4,4.0,25.65,28.16,18.12,46.19999999999999,outputs/cifar100_4agent_25cls_hetero4arch_ipc10_guardian_vgg_dense_ep75_lr0p01_fr0p25_kd0p4_t4p0_self3p0/metrics/social_results.csv
cifar100_4agent_25cls_hetero4arch_ipc10_guardian_vgg_dense_ep60_lr0p01_fr0p4_kd0p5_t4p0_self2p5,2,vgg,0.4,0.5,4.0,25.63,28.026666666666667,18.44,45.879999999999995,outputs/cifar100_4agent_25cls_hetero4arch_ipc10_guardian_vgg_dense_ep60_lr0p01_fr0p4_kd0p5_t4p0_self2p5/metrics/social_results.csv
cifar100_4agent_25cls_hetero4arch_ipc10_guardian_vgg_g3_fr020_kd040_t4_sched_self30,2,vgg,0.2,0.4,4.0,25.63,27.933333333333334,18.72,45.599999999999994,outputs/cifar100_4agent_25cls_hetero4arch_ipc10_guardian_vgg_g3_fr020_kd040_t4_sched_self30/metrics/social_results.csv
cifar100_4agent_25cls_hetero4arch_ipc10_guardian_vgg_dense_ep60_lr0p01_fr0p25_kd0p4_t4p0_self3p0,2,vgg,0.25,0.4,4.0,25.59,27.16,20.88,43.44,outputs/cifar100_4agent_25cls_hetero4arch_ipc10_guardian_vgg_dense_ep60_lr0p01_fr0p25_kd0p4_t4p0_self3p0/metrics/social_results.csv
cifar100_4agent_25cls_hetero4arch_ipc10_guardian_vgg_g3_fr025_kd050_t3_sched_self30,2,vgg,0.25,0.5,3.0,25.57,27.30666666666667,20.36,43.959999999999994,outputs/cifar100_4agent_25cls_hetero4arch_ipc10_guardian_vgg_g3_fr025_kd050_t3_sched_self30/metrics/social_results.csv
cifar100_4agent_25cls_hetero4arch_ipc10_guardian_vgg_g3_fr030_kd040_t3_sched_self30,2,vgg,0.3,0.4,3.0,25.55,26.92,21.44,42.879999999999995,outputs/cifar100_4agent_25cls_hetero4arch_ipc10_guardian_vgg_g3_fr030_kd040_t3_sched_self30/metrics/social_results.csv
cifar100_4agent_25cls_hetero4arch_ipc10_guardian_vgg_dense_ep60_lr0p01_fr0p3_kd0p5_t3p0_self3p0,2,vgg,0.3,0.5,3.0,25.54,27.226666666666667,20.48,43.83999999999999,outputs/cifar100_4agent_25cls_hetero4arch_ipc10_guardian_vgg_dense_ep60_lr0p01_fr0p3_kd0p5_t3p0_self3p0/metrics/social_results.csv
cifar100_4agent_25cls_hetero4arch_ipc10_guardian_vgg_g3_fr030_kd050_t3_sched_self30,2,vgg,0.3,0.5,3.0,25.54,27.213333333333335,20.52,43.8,outputs/cifar100_4agent_25cls_hetero4arch_ipc10_guardian_vgg_g3_fr030_kd050_t3_sched_self30/metrics/social_results.csv
cifar100_4agent_25cls_hetero4arch_ipc10_guardian_vgg_dense_ep75_lr0p01_fr0p25_kd0p6_t3p0_self3p0,2,vgg,0.25,0.6,3.0,25.53,27.186666666666667,20.56,43.75999999999999,outputs/cifar100_4agent_25cls_hetero4arch_ipc10_guardian_vgg_dense_ep75_lr0p01_fr0p25_kd0p6_t3p0_self3p0/metrics/social_results.csv
cifar100_4agent_25cls_hetero4arch_ipc10_guardian_vgg_dense_ep60_lr0p01_fr0p4_kd0p4_t3p0_self4p0,2,vgg,0.4,0.4,3.0,25.51,26.76,21.76,42.55999999999999,outputs/cifar100_4agent_25cls_hetero4arch_ipc10_guardian_vgg_dense_ep60_lr0p01_fr0p4_kd0p4_t3p0_self4p0/metrics/social_results.csv
cifar100_4agent_25cls_hetero4arch_ipc10_guardian_vgg_dense_ep75_lr0p01_fr0p3_kd0p5_t4p0_self3p0,2,vgg,0.3,0.5,4.0,25.51,27.933333333333334,18.24,46.08,outputs/cifar100_4agent_25cls_hetero4arch_ipc10_guardian_vgg_dense_ep75_lr0p01_fr0p3_kd0p5_t4p0_self3p0/metrics/social_results.csv
cifar100_4agent_25cls_hetero4arch_ipc10_guardian_vgg_dense_ep60_lr0p01_fr0p3_kd0p3_t4p0_self3p0,2,vgg,0.3,0.3,4.0,25.46,26.973333333333333,20.92,43.39999999999999,outputs/cifar100_4agent_25cls_hetero4arch_ipc10_guardian_vgg_dense_ep60_lr0p01_fr0p3_kd0p3_t4p0_self3p0/metrics/social_results.csv
cifar100_4agent_25cls_hetero4arch_ipc10_guardian_vgg_dense_ep60_lr0p01_fr0p3_kd0p6_t3p0_self2p5,2,vgg,0.3,0.6,3.0,25.45,27.533333333333335,19.2,45.11999999999999,outputs/cifar100_4agent_25cls_hetero4arch_ipc10_guardian_vgg_dense_ep60_lr0p01_fr0p3_kd0p6_t3p0_self2p5/metrics/social_results.csv
cifar100_4agent_25cls_hetero4arch_ipc10_guardian_vgg_dense_ep75_lr0p01_fr0p3_kd0p6_t3p0_self3p0,2,vgg,0.3,0.6,3.0,25.45,27.133333333333333,20.4,43.919999999999995,outputs/cifar100_4agent_25cls_hetero4arch_ipc10_guardian_vgg_dense_ep75_lr0p01_fr0p3_kd0p6_t3p0_self3p0/metrics/social_results.csv
cifar100_4agent_25cls_hetero4arch_ipc10_tune2_vgg_fr020_kd070_t4_sched_self20,2,vgg,0.2,0.7,4.0,25.42,27.8,18.28,46.03999999999999,outputs/cifar100_4agent_25cls_hetero4arch_ipc10_tune2_vgg_fr020_kd070_t4_sched_self20/metrics/social_results.csv
cifar100_4agent_25cls_hetero4arch_ipc10_guardian_vgg_dense_ep60_lr0p01_fr0p35_kd0p4_t3p0_self4p0,2,vgg,0.35,0.4,3.0,25.37,26.706666666666667,21.36,42.959999999999994,outputs/cifar100_4agent_25cls_hetero4arch_ipc10_guardian_vgg_dense_ep60_lr0p01_fr0p35_kd0p4_t3p0_self4p0/metrics/social_results.csv
cifar100_4agent_25cls_hetero4arch_ipc10_guardian_vgg_dense_ep75_lr0p01_fr0p3_kd0p5_t3p0_self3p0,2,vgg,0.3,0.5,3.0,25.36,27.2,19.84,44.47999999999999,outputs/cifar100_4agent_25cls_hetero4arch_ipc10_guardian_vgg_dense_ep75_lr0p01_fr0p3_kd0p5_t3p0_self3p0/metrics/social_results.csv
